,place name,category,city,link
11,Hotel Club Al Moggar Garden Beach,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d543253-Reviews-Hotel_Club_Al_Moggar_Garden_Beach-Agadir_Souss_Massa.html?
12,Hotel Riu Palace Tikida Taghazout,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g1554848-d15238678-Reviews-Hotel_Riu_Palace_Tikida_Taghazout-Taghazout_Souss_Massa.html?
13,Royal Mirage Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d301836-Reviews-Royal_Mirage_Agadir-Agadir_Souss_Massa.html?
14,Tildi Hotel & SPA,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d1474518-Reviews-Tildi_Hotel_SPA-Agadir_Souss_Massa.html?
15,Amadil Ocean Club,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d316609-Reviews-Amadil_Ocean_Club-Agadir_Souss_Massa.html?
16,Hotel Riu Tikida Beach,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d576215-Reviews-Hotel_Riu_Tikida_Beach-Agadir_Souss_Massa.html?
17,Dunes D'or Ocean Club,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d950995-Reviews-Dunes_D_or_Ocean_Club-Agadir_Souss_Massa.html?
18,Pure Passion Restaurant,Hotel,Agadir,https://www.tripadvisor.com/Restaurant_Review-g293731-d6697377-Reviews-Pure_Passion_Restaurant-Agadir_Souss_Massa.html
19,Tafoukt Beach Hotel,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d594772-Reviews-Tafoukt_Beach_Hotel-Agadir_Souss_Massa.html?
20,ROBINSON Agadir,Hotel,Agadir,https://www.tripadvisor.com/Hotel_Review-g293731-d1015425-Reviews-ROBINSON_Agadir-Agadir_Souss_Massa.html?
